"geneID","proteinID","descrip"
"BKA90DRAFT_138743","KAE8171681.1","HIT-like domain-containing protein"
"BKA90DRAFT_138746","KAE8171682.1","protein transport protein SEC61 subunit alpha"
"BKA90DRAFT_138747","KAE8171683.1","putative deacetylase LmbE-like domain-containing protein"
"BKA90DRAFT_138748","KAE8171684.1","hypothetical protein"
"BKA90DRAFT_138749","KAE8171685.1","hypothetical protein"
"BKA90DRAFT_138751","KAE8171686.1","tRNA A64-2'-O-ribosylphosphate transferase"
"BKA90DRAFT_138752","KAE8171687.1","RNA polymerase II-associated"
"BKA90DRAFT_138754","KAE8171688.1","Sec1-like protein"
"BKA90DRAFT_138757","KAE8171689.1","hypothetical protein"
"BKA90DRAFT_169085","KAE8171690.1","hypothetical protein"
"BKA90DRAFT_138759","KAE8171691.1","hypothetical protein"
"BKA90DRAFT_138762","KAE8171568.1","Phosphoadenosine phosphosulfate reductase family-domain-containing protein"
"BKA90DRAFT_138764","KAE8171569.1","altered inheritance of mitochondria protein 34, mitochondrial"
"BKA90DRAFT_138767","KAE8171570.1","hypothetical protein"
"BKA90DRAFT_138768","KAE8171571.1","hypothetical protein"
"BKA90DRAFT_113671","KAE8171572.1","hypothetical protein"
"BKA90DRAFT_138771","KAE8171573.1","carboxylesterase/lipase type B"
"BKA90DRAFT_138772","KAE8171574.1","hypothetical protein"
"BKA90DRAFT_129503","KAE8171575.1","hypothetical protein"
"BKA90DRAFT_113680","KAE8171576.1","OPT oligopeptide transporter protein-domain-containing protein"
"BKA90DRAFT_147397","KAE8171577.1","OPT oligopeptide transporter protein-domain-containing protein"
"BKA90DRAFT_157767","KAE8171578.1","hypothetical protein"
"BKA90DRAFT_174832","KAE8171579.1","hypothetical protein"
"BKA90DRAFT_138778","KAE8171580.1","hypothetical protein"
"BKA90DRAFT_138780","KAE8171581.1","RNA exonuclease 3"
"BKA90DRAFT_138784","KAE8171582.1","phosphoribosylanthranilate isomerase Trp1"
"BKA90DRAFT_25506","KAE8171583.1","hypothetical protein"
"BKA90DRAFT_153343","KAE8171584.1","hypothetical protein"
"BKA90DRAFT_138789","KAE8171585.1","cell division protein anillin-domain-containing protein"
"BKA90DRAFT_138790","KAE8171586.1","hypothetical protein"
"BKA90DRAFT_138791","KAE8171587.1","actin cortical patch SUR7/pH-response regulator pali"
"BKA90DRAFT_25578","KAE8171588.1","hypothetical protein"
"BKA90DRAFT_138799","KAE8171589.1","P-loop containing nucleoside triphosphate hydrolase protein"
"BKA90DRAFT_25607","KAE8171590.1","hypothetical protein"
"BKA90DRAFT_138803","KAE8171591.1","P-loop containing nucleoside triphosphate hydrolase protein"
"BKA90DRAFT_138805","KAE8171592.1","hypothetical protein"
"BKA90DRAFT_138809","KAE8171593.1","retrieval of early ER protein Rer1"
"BKA90DRAFT_138812","KAE8171594.1","hypothetical protein"
"BKA90DRAFT_138817","KAE8171595.1","Tubulin/FtsZ, GTPase domain-containing protein"
"BKA90DRAFT_138820","KAE8171596.1","carbon-nitrogen hydrolase"
"BKA90DRAFT_138822","KAE8171597.1","hypothetical protein"
"BKA90DRAFT_138824","KAE8171598.1","long chronological lifespan protein 2"
"BKA90DRAFT_153355","KAE8171599.1","SGNH hydrolase-type esterase domain-containing protein"
"BKA90DRAFT_25715","KAE8171600.1","vesicle transport protein"
"BKA90DRAFT_138847","KAE8171601.1","profilin"
"BKA90DRAFT_138848","KAE8171602.1","rRNA-processing protein EFG1"
"BKA90DRAFT_138851","KAE8171603.1","NADP-dependent oxidoreductase domain-containing protein"
"BKA90DRAFT_169119","KAE8171604.1","Leo1-like protein-domain-containing protein"
"BKA90DRAFT_138858","KAE8171605.1","autophagy-related protein"
"BKA90DRAFT_157797","KAE8171606.1","hypothetical protein"
"BKA90DRAFT_157799","KAE8171607.1","flavo protein-like protein"
"BKA90DRAFT_138859","KAE8171608.1","flavo protein-like protein"
"BKA90DRAFT_99477","KAE8171609.1","hypothetical protein"
"BKA90DRAFT_138863","KAE8171610.1","Metallo-dependent phosphatase-like protein"
"BKA90DRAFT_138865","KAE8171611.1","ribose-5-phosphate isomerase"
"BKA90DRAFT_138866","KAE8171612.1","hypothetical protein"
"BKA90DRAFT_99488","KAE8171613.1","ribosome 60S biogenesis N-terminal-domain-containing protein"
"BKA90DRAFT_25851","KAE8171614.1","fungal-specific transcription factor domain-containing protein"
"BKA90DRAFT_138871","KAE8171615.1","hypothetical protein"
"BKA90DRAFT_138876","KAE8171497.1","isoprenoid synthase domain-containing protein"
"BKA90DRAFT_138877","KAE8171498.1","hypothetical protein"
"BKA90DRAFT_138879","KAE8171499.1","pyridoxamine 5'-phosphate oxidase-domain-containing protein"
"BKA90DRAFT_25905","KAE8171500.1","hypothetical protein"
"BKA90DRAFT_113766","KAE8171501.1","aquaporin-like protein"
"BKA90DRAFT_138886","KAE8171502.1","hypothetical protein"
"BKA90DRAFT_174869","KAE8171503.1","hypothetical protein"
"BKA90DRAFT_138889","KAE8171504.1","hypothetical protein"
"BKA90DRAFT_138890","KAE8171505.1","hypothetical protein"
"BKA90DRAFT_174872","KAE8171506.1","hypothetical protein"
"BKA90DRAFT_129558","KAE8171507.1","lysine acetyltransferase"
"BKA90DRAFT_138899","KAE8171508.1","hypothetical protein"
"BKA90DRAFT_113788","KAE8171509.1","hypothetical protein"
"BKA90DRAFT_138901","KAE8171510.1","putative thiopurine S-methyltransferase"
"BKA90DRAFT_138902","KAE8171511.1","Rdx family-domain-containing protein"
"BKA90DRAFT_138906","KAE8171512.1","Metallo-peptidase family M12-domain-containing protein"
"BKA90DRAFT_99532","KAE8171513.1","hypothetical protein"
"BKA90DRAFT_138908","KAE8171514.1","hypothetical protein"
"BKA90DRAFT_138909","KAE8171515.1","hypothetical protein"
"BKA90DRAFT_138910","KAE8171516.1","actin family"
"BKA90DRAFT_138912","KAE8171517.1","major facilitator superfamily domain-containing protein"
"BKA90DRAFT_138914","KAE8171518.1","F-actin-capping protein subunit alpha"
"BKA90DRAFT_138915","KAE8171519.1","hypothetical protein"
"BKA90DRAFT_138918","KAE8171520.1","hypothetical protein"
"BKA90DRAFT_138919","KAE8171521.1","RNA polymerase I associated factor, A49-like protein"
"BKA90DRAFT_138921","KAE8171522.1","Six-hairpin glycosidase-like protein"
"BKA90DRAFT_138922","KAE8171523.1","hypothetical protein"
"BKA90DRAFT_113819","KAE8171524.1","hypothetical protein"
"BKA90DRAFT_138924","KAE8171525.1","hypothetical protein"
"BKA90DRAFT_138926","KAE8171526.1","mitochondrial import inner membrane translocase subunit TIM9"
"BKA90DRAFT_138927","KAE8171527.1","hypothetical protein"
"BKA90DRAFT_138928","KAE8171528.1","Ctf8-domain-containing protein"
"BKA90DRAFT_138930","KAE8171529.1","Polymerase/histidinol phosphatase-like protein"
"BKA90DRAFT_174892","KAE8171530.1","hypothetical protein"
"BKA90DRAFT_138933","KAE8171531.1","hypothetical protein"
"BKA90DRAFT_138934","KAE8171532.1","hypothetical protein"
"BKA90DRAFT_113841","KAE8171533.1","hypothetical protein"
"BKA90DRAFT_138936","KAE8171534.1","hypothetical protein"
"BKA90DRAFT_138938","KAE8171535.1","WD40-repeat-containing domain protein"
"BKA90DRAFT_174898","KAE8171536.1","hypothetical protein"
"BKA90DRAFT_138941","KAE8171537.1","COP9 signalosome complex subunit 5"
"BKA90DRAFT_138942","KAE8171538.1","hydroxymethylglutaryl-coenzyme A reductase-domain-containing protein"
"BKA90DRAFT_138943","KAE8171539.1","guanine-N(7)--methyltransferase subunit TRM82"
"BKA90DRAFT_138944","KAE8171540.1","Spermine/spermidine synthase-domain-containing protein"
"BKA90DRAFT_138947","KAE8171541.1","hypothetical protein"
"BKA90DRAFT_138948","KAE8171542.1","band 7 family-domain-containing protein"
"BKA90DRAFT_138950","KAE8171543.1","Pre-mRNA-splicing factor PRP46"
"BKA90DRAFT_138951","KAE8171544.1","histone acetyltransferase ESA1"
"BKA90DRAFT_157842","KAE8171545.1","hypothetical protein"
"BKA90DRAFT_174908","KAE8171546.1","Phosphotyrosyl phosphatase activator"
"BKA90DRAFT_138955","KAE8171547.1","ubiquitin-conjugating enzyme/RWD-like protein"
"BKA90DRAFT_138956","KAE8171548.1","hypothetical protein"
"BKA90DRAFT_138959","KAE8171549.1","Exportin-T"
"BKA90DRAFT_138960","KAE8171550.1","hypothetical protein"
"BKA90DRAFT_138963","KAE8171551.1","hypothetical protein"
"BKA90DRAFT_174913","KAE8171552.1","POT family-domain-containing protein"
"BKA90DRAFT_138967","KAE8171553.1","Extradiol ring-cleavage dioxygenase, class III enzyme, subunit B"
"BKA90DRAFT_138968","KAE8171554.1","hypothetical protein"
"BKA90DRAFT_138969","KAE8171555.1","ribonuclease H-like domain-containing protein"
"BKA90DRAFT_138970","KAE8171556.1","hypothetical protein"
"BKA90DRAFT_138971","KAE8171557.1","ssy5 protein"
"BKA90DRAFT_85079","KAE8171558.1","cytochrome b5-like heme/steroid binding domain-containing protein"
"BKA90DRAFT_138974","KAE8171559.1","antagonist of mitotic exit network protein 1"
"BKA90DRAFT_138975","KAE8171560.1","hypothetical protein"
"BKA90DRAFT_99640","KAE8171561.1","hypothetical protein"
"BKA90DRAFT_26244","KAE8171562.1","hypothetical protein"
"BKA90DRAFT_138979","KAE8171563.1","hypothetical protein"
"BKA90DRAFT_138980","KAE8171564.1","Threonyl/alanyl tRNA synthetase"
"BKA90DRAFT_138981","KAE8171565.1","Phosphomethylpyrimidine kinase-domain-containing protein"
"BKA90DRAFT_138982","KAE8171566.1","arginase family-domain-containing protein"
"BKA90DRAFT_163160","KAE8171567.1","hypothetical protein"
"BKA90DRAFT_138987","KAE8171437.1","hypothetical protein"
"BKA90DRAFT_138988","KAE8171438.1","major facilitator superfamily domain-containing protein"
"BKA90DRAFT_138989","KAE8171439.1","TRAPP II complex"
"BKA90DRAFT_138990","KAE8171440.1","mRNA 3'-end-processing protein YTH1"
"BKA90DRAFT_138994","KAE8171441.1","RNA ligase-domain-containing protein"
"BKA90DRAFT_163166","KAE8171442.1","Aspartate/ornithine carbamoyltransferase"
"BKA90DRAFT_157848","KAE8171443.1","hypothetical protein"
"BKA90DRAFT_113934","KAE8171444.1","acyl carrier protein-like protein"
"BKA90DRAFT_139003","KAE8171445.1","hypothetical protein"
"BKA90DRAFT_85235","KAE8171446.1","terpenoid cyclases/protein prenyltransferase alpha-alpha toroid"
"BKA90DRAFT_139007","KAE8171447.1","Rim13 protein"
"BKA90DRAFT_139008","KAE8171448.1","hypothetical protein"
"BKA90DRAFT_139010","KAE8171449.1","FACT complex subunit SPT16"
"BKA90DRAFT_139012","KAE8171450.1","ras family-domain-containing protein"
"BKA90DRAFT_147511","KAE8171451.1","hypothetical protein"
"BKA90DRAFT_139016","KAE8171452.1","hypothetical protein"
"BKA90DRAFT_26408","KAE8171453.1","complex I intermediate-associated protein 30-domain-containing protein"
"BKA90DRAFT_139021","KAE8171454.1","kinase-like domain-containing protein"
"BKA90DRAFT_26439","KAE8171455.1","HSF-type DNA-binding-domain-containing protein"
"BKA90DRAFT_139025","KAE8171456.1","protein PNS1"
"BKA90DRAFT_139026","KAE8171457.1","glycosyltransferase family 20-domain-containing protein"
"BKA90DRAFT_139029","KAE8171458.1","eukaryotic integral membrane protein-domain-containing protein"
"BKA90DRAFT_153458","KAE8171459.1","hypothetical protein"
"BKA90DRAFT_139031","KAE8171460.1","hypothetical protein"
"BKA90DRAFT_26454","KAE8171461.1","hypothetical protein"
"BKA90DRAFT_139034","KAE8171462.1","hypothetical protein"
"BKA90DRAFT_139036","KAE8171463.1","hypothetical protein"
"BKA90DRAFT_26459","KAE8171464.1","hypothetical protein"
"BKA90DRAFT_129643","KAE8171465.1","aspartic peptidase domain-containing protein"
"BKA90DRAFT_139039","KAE8171466.1","hypothetical protein"
"BKA90DRAFT_139043","KAE8171467.1","WD40-repeat-containing domain protein"
"BKA90DRAFT_139045","KAE8171468.1","nucleophile aminohydrolase"
"BKA90DRAFT_26490","KAE8171469.1","hypothetical protein"
"BKA90DRAFT_113998","KAE8171470.1","major facilitator superfamily domain-containing protein"
"BKA90DRAFT_139048","KAE8171471.1","Pre-rRNA-processing protein IPI3"
"BKA90DRAFT_139049","KAE8171472.1","hypothetical protein"
"BKA90DRAFT_139051","KAE8171473.1","60S ribosomal protein L12"
"BKA90DRAFT_26520","KAE8171474.1","acyl-CoA N-acyltransferase"
"BKA90DRAFT_139054","KAE8171475.1","Scd6-like Sm domain-containing protein"
"BKA90DRAFT_85296","KAE8171476.1","40S ribosomal protein S21"
"BKA90DRAFT_139060","KAE8171477.1","hypothetical protein"
"BKA90DRAFT_114017","KAE8171478.1","exoribonuclease 2"
"BKA90DRAFT_139062","KAE8171479.1","40S ribosomal protein S24"
"BKA90DRAFT_129658","KAE8171480.1","hypothetical protein"
"BKA90DRAFT_169240","KAE8171481.1","BAR domain-containing protein"
"BKA90DRAFT_114024","KAE8171482.1","hypothetical protein"
"BKA90DRAFT_157856","KAE8171483.1","hypothetical protein"
"BKA90DRAFT_139075","KAE8171484.1","Metallo-dependent phosphatase-like protein"
"BKA90DRAFT_139076","KAE8171485.1","hypothetical protein"
"BKA90DRAFT_139077","KAE8171486.1","semialdehyde dehydrogenase"
"BKA90DRAFT_139078","KAE8171487.1","hypothetical protein"
"BKA90DRAFT_139079","KAE8171488.1","G protein-coupled glucose receptor regulating Gpa2-domain-containing protein"
"BKA90DRAFT_26705","KAE8171489.1","hypothetical protein"
"BKA90DRAFT_139084","KAE8171490.1","RWD domain-containing protein"
"BKA90DRAFT_139085","KAE8171491.1","hypothetical protein"
"BKA90DRAFT_139086","KAE8171492.1","Utp14 protein-domain-containing protein"
"BKA90DRAFT_139088","KAE8171493.1","hypothetical protein"
"BKA90DRAFT_139089","KAE8171494.1","hypothetical protein"
"BKA90DRAFT_157863","KAE8171495.1","hypothetical protein"
"BKA90DRAFT_169253","KAE8171496.1","hypothetical protein"
"BKA90DRAFT_139091","KAE8171375.1","hypothetical protein"
"BKA90DRAFT_26787","KAE8171376.1","hypothetical protein"
"BKA90DRAFT_139093","KAE8171377.1","thiamine pyrophosphate enzyme, N-terminal TPP binding domain-containing protein"
"BKA90DRAFT_157868","KAE8171378.1","hypothetical protein"
"BKA90DRAFT_139096","KAE8171379.1","hypothetical protein"
"BKA90DRAFT_139099","KAE8171380.1","amino acid/polyamine transporter I"
"BKA90DRAFT_139100","KAE8171381.1","hypothetical protein"
"BKA90DRAFT_139101","KAE8171382.1","inositol-pentakisphosphate 2-kinase"
"BKA90DRAFT_26830","KAE8171383.1","hypothetical protein"
"BKA90DRAFT_139103","KAE8171384.1","Cse1-domain-containing protein"
"BKA90DRAFT_26840","KAE8171385.1","anaphase-promoting complex, subunit 10/DOC domain-containing protein"
"BKA90DRAFT_99819","KAE8171386.1","hypothetical protein"
"BKA90DRAFT_163227","KAE8171387.1","Quinolinate phosphoribosyl transferase"
"BKA90DRAFT_139107","KAE8171388.1","pyridoxal phosphate-dependent transferase"
"BKA90DRAFT_139108","KAE8171389.1","glucose inhibited division protein A-domain-containing protein"
"BKA90DRAFT_139109","KAE8171390.1","raptor N-terminal caspase like domain-containing protein"
"BKA90DRAFT_139111","KAE8171391.1","mitochondrial carrier domain-containing protein"
"BKA90DRAFT_163232","KAE8171392.1","hypothetical protein"
"BKA90DRAFT_157876","KAE8171393.1","apolipo protein O-domain-containing protein"
"BKA90DRAFT_26906","KAE8171394.1","hypothetical protein"
"BKA90DRAFT_26904","KAE8171395.1","hypothetical protein"
"BKA90DRAFT_157877","KAE8171396.1","hypothetical protein"
"BKA90DRAFT_139116","KAE8171397.1","S-adenosyl-L-methionine-dependent methyltransferase"
"BKA90DRAFT_139119","KAE8171398.1","hypothetical protein"
"BKA90DRAFT_139120","KAE8171399.1","oligosaccharide translocation protein RFT1"
"BKA90DRAFT_26930","KAE8171400.1","hypothetical protein"
"BKA90DRAFT_139122","KAE8171401.1","hypothetical protein"
"BKA90DRAFT_139123","KAE8171402.1","P-loop containing nucleoside triphosphate hydrolase protein"
"BKA90DRAFT_139124","KAE8171403.1","hypothetical protein"
"BKA90DRAFT_139125","KAE8171404.1","hypothetical protein"
"BKA90DRAFT_139127","KAE8171405.1","hypothetical protein"
"BKA90DRAFT_99855","KAE8171406.1","acyl-CoA oxidase-domain-containing protein"
"BKA90DRAFT_26960","KAE8171407.1","Diphthamide biosynthesis protein 4"
"BKA90DRAFT_114120","KAE8171408.1","hypothetical protein"
"BKA90DRAFT_139134","KAE8171409.1","kinase-like domain-containing protein"
"BKA90DRAFT_139137","KAE8171410.1","Transketolase, thiamine diphosphate binding domain-containing protein"
"BKA90DRAFT_99871","KAE8171411.1","hypothetical protein"
"BKA90DRAFT_139139","KAE8171412.1","Not1 N-terminal domain, CCR4-Not complex component-domain-containing protein"
"BKA90DRAFT_27005","KAE8171413.1","hypothetical protein"
"BKA90DRAFT_157884","KAE8171414.1","flavo protein"
"BKA90DRAFT_114137","KAE8171415.1","transferase"
"BKA90DRAFT_139142","KAE8171416.1","chromatin remodelling complex Rsc7/Swp82 subunit-domain-containing protein"
"BKA90DRAFT_139143","KAE8171417.1","concanavalin A-like lectin/glucanase domain-containing protein"
"BKA90DRAFT_27029","KAE8171418.1","mitochondrial import inner membrane translocase subunit TIM10"
"BKA90DRAFT_139145","KAE8171419.1","cytochrome c/c1 heme-lyase"
"BKA90DRAFT_85442","KAE8171420.1","ribosomal protein S5 domain 2-type protein"
"BKA90DRAFT_27039","KAE8171421.1","tRNA ligase kinase domain-containing protein"
"BKA90DRAFT_139147","KAE8171422.1","glycoside hydrolase superfamily"
"BKA90DRAFT_114156","KAE8171423.1","hypothetical protein"
"BKA90DRAFT_99899","KAE8171424.1","hypothetical protein"
"BKA90DRAFT_139152","KAE8171425.1","hypothetical protein"
"BKA90DRAFT_139155","KAE8171426.1","phosphatidylethanolamine N-methyltransferase"
"BKA90DRAFT_139156","KAE8171427.1","3' exoribonuclease family, domain 1-domain-containing protein"
"BKA90DRAFT_139157","KAE8171428.1","hypothetical protein"
"BKA90DRAFT_139160","KAE8171429.1","Alpha/Beta hydrolase protein"
"BKA90DRAFT_163264","KAE8171430.1","P-loop containing nucleoside triphosphate hydrolase protein"
"BKA90DRAFT_139164","KAE8171431.1","hypothetical protein"
"BKA90DRAFT_139165","KAE8171432.1","Dolichyl-phosphate-mannose-protein mannosyltransferase-domain-containing protein"
"BKA90DRAFT_139166","KAE8171433.1","hypothetical protein"
"BKA90DRAFT_139168","KAE8171434.1","mitochondrial genome maintenance protein MGM101"
"BKA90DRAFT_139169","KAE8171435.1","TB2/DP1, HVA22 family-domain-containing protein"
"BKA90DRAFT_147609","KAE8171436.1","hypothetical protein"
"BKA90DRAFT_28720","KAE8171325.1","lipase"
"BKA90DRAFT_28732","KAE8171326.1","proteasome complex subunit Rpn13 ubiquitin receptor-domain-containing protein"
"BKA90DRAFT_28758","KAE8171327.1","hypothetical protein"
"BKA90DRAFT_28756","KAE8171328.1","Elongator complex protein 5"
"BKA90DRAFT_139181","KAE8171329.1","Sodium/calcium exchanger protein-domain-containing protein"
"BKA90DRAFT_153558","KAE8171330.1","hypothetical protein"
"BKA90DRAFT_139186","KAE8171331.1","YNL010W-like protein"
"BKA90DRAFT_139189","KAE8171332.1","phosphoesterase family-domain-containing protein"
"BKA90DRAFT_139190","KAE8171333.1","hypothetical protein"
"BKA90DRAFT_139191","KAE8171334.1","programmed cell death protein 2"
"BKA90DRAFT_139192","KAE8171335.1","mitochondrial ribosomal protein subunit L20-domain-containing protein"
"BKA90DRAFT_147622","KAE8171336.1","hypothetical protein"
"BKA90DRAFT_139195","KAE8171337.1","hypothetical protein"
"BKA90DRAFT_139197","KAE8171338.1","hypothetical protein"
"BKA90DRAFT_28842","KAE8171339.1","Snf7 family"
"BKA90DRAFT_139203","KAE8171340.1","3,4-dihydroxy-2-butanone 4-phosphate synthase"
"BKA90DRAFT_139204","KAE8171341.1","hypothetical protein"
"BKA90DRAFT_139205","KAE8171342.1","Manganese/iron superoxide dismutase"
"BKA90DRAFT_139207","KAE8171343.1","hypothetical protein"
"BKA90DRAFT_139208","KAE8171344.1","60S ribosomal protein L18"
"BKA90DRAFT_139211","KAE8171345.1","Prefoldin subunit-domain-containing protein"
"BKA90DRAFT_99986","KAE8171346.1","hypothetical protein"
"BKA90DRAFT_139214","KAE8171347.1","Hsp70 protein-domain-containing protein"
"BKA90DRAFT_139215","KAE8171348.1","hypothetical protein"
"BKA90DRAFT_114250","KAE8171349.1","40S ribosomal protein S29"
"BKA90DRAFT_139217","KAE8171350.1","C2H2 type zinc-finger-domain-containing protein"
"BKA90DRAFT_28986","KAE8171351.1","hypothetical protein"
"BKA90DRAFT_28993","KAE8171352.1","triose-phosphate transporter family-domain-containing protein"
"BKA90DRAFT_139223","KAE8171353.1","hypothetical protein"
"BKA90DRAFT_100003","KAE8171354.1","hypothetical protein"
"BKA90DRAFT_139230","KAE8171355.1","kinase-like domain-containing protein"
"BKA90DRAFT_139233","KAE8171356.1","Thiolase, N-terminal domain-containing protein"
"BKA90DRAFT_139237","KAE8171357.1","ribosomal protein S5 domain 2-type protein"
"BKA90DRAFT_139238","KAE8171358.1","hypothetical protein"
"BKA90DRAFT_29068","KAE8171359.1","Rec8 like protein-domain-containing protein"
"BKA90DRAFT_169342","KAE8171360.1","major facilitator superfamily domain-containing protein"
"BKA90DRAFT_147645","KAE8171361.1","hypothetical protein"
"BKA90DRAFT_29089","KAE8171362.1","hypothetical protein"
"BKA90DRAFT_158001","KAE8171363.1","hypothetical protein"
"BKA90DRAFT_29095","KAE8171364.1","hypothetical protein"
"BKA90DRAFT_100026","KAE8171365.1","hypothetical protein"
"BKA90DRAFT_139247","KAE8171366.1","Longin-like domain-containing protein"
"BKA90DRAFT_139248","KAE8171367.1","magnesium-dependent phosphatase-1"
"BKA90DRAFT_114290","KAE8171368.1","hypothetical protein"
"BKA90DRAFT_139252","KAE8171369.1","hypothetical protein"
"BKA90DRAFT_139257","KAE8171370.1","RanGTP-binding protein-domain-containing protein"
"BKA90DRAFT_139261","KAE8171371.1","product required for copper resistance"
"BKA90DRAFT_139263","KAE8171372.1","sulfate adenylyltransferase"
"BKA90DRAFT_139264","KAE8171373.1","hypothetical protein"
"BKA90DRAFT_29189","KAE8171374.1","hypothetical protein"
"BKA90DRAFT_139267","KAE8171269.1","hypothetical protein"
"BKA90DRAFT_139268","KAE8171270.1","hypothetical protein"
"BKA90DRAFT_29216","KAE8171271.1","hypothetical protein"
"BKA90DRAFT_163319","KAE8171272.1","HSF-type DNA-binding-domain-containing protein"
"BKA90DRAFT_139283","KAE8171273.1","hypothetical protein"
"BKA90DRAFT_139285","KAE8171274.1","ATP-grasp domain-containing protein"
"BKA90DRAFT_139287","KAE8171275.1","hypothetical protein"
"BKA90DRAFT_139288","KAE8171276.1","P-loop containing nucleoside triphosphate hydrolase protein"
"BKA90DRAFT_129784","KAE8171277.1","hypothetical protein"
"BKA90DRAFT_169360","KAE8171278.1","hypothetical protein"
"BKA90DRAFT_163325","KAE8171279.1","surface antigen-domain-containing protein"
"BKA90DRAFT_139293","KAE8171280.1","hypothetical protein"
"BKA90DRAFT_139296","KAE8171281.1","PI/PC TP"
"BKA90DRAFT_29298","KAE8171282.1","hypothetical protein"
"BKA90DRAFT_114322","KAE8171283.1","armadillo-type protein"
"BKA90DRAFT_139304","KAE8171284.1","NADPH-cytochrome P-450 reductase"
"BKA90DRAFT_114328","KAE8171285.1","hypothetical protein"
"BKA90DRAFT_100079","KAE8171286.1","hypothetical protein"
"BKA90DRAFT_114332","KAE8171287.1","hypothetical protein"
"BKA90DRAFT_139312","KAE8171288.1","kinase-like domain-containing protein"
"BKA90DRAFT_139313","KAE8171289.1","FAD dependent oxidoreductase"
"BKA90DRAFT_139314","KAE8171290.1","hypothetical protein"
"BKA90DRAFT_139315","KAE8171291.1","mitochondrial putative cytochrome c peroxidase"
"BKA90DRAFT_139316","KAE8171292.1","ABC transporter transmembrane region 2-domain-containing protein"
"BKA90DRAFT_139317","KAE8171293.1","ornithine decarboxylase antizyme-domain-containing protein"
"BKA90DRAFT_139318","KAE8171294.1","GPI mannosyltransferase 3"
"BKA90DRAFT_139319","KAE8171295.1","hypothetical protein"
"BKA90DRAFT_29362","KAE8171296.1","uracil-DNA glycosylase-like protein"
"BKA90DRAFT_139322","KAE8171297.1","hypothetical protein"
"BKA90DRAFT_139323","KAE8171298.1","hypothetical protein"
"BKA90DRAFT_139325","KAE8171299.1","NADP-dependent oxidoreductase domain-containing protein"
"BKA90DRAFT_139327","KAE8171300.1","hypothetical protein"
"BKA90DRAFT_139330","KAE8171301.1","high osmolarity signaling protein SHO1"
"BKA90DRAFT_129809","KAE8171302.1","longevity-assurance protein"
"BKA90DRAFT_114371","KAE8171303.1","RNA polymerase II holoenzyme cyclin-like subunit"
"BKA90DRAFT_29399","KAE8171304.1","ICE2-domain-containing protein"
"BKA90DRAFT_139338","KAE8171305.1","U3 small nucleolar RNA-associated protein 25"
"BKA90DRAFT_139341","KAE8171306.1","hypothetical protein"
"BKA90DRAFT_139342","KAE8171307.1","hypothetical protein"
"BKA90DRAFT_139344","KAE8171308.1","37S ribosomal protein S25, mitochondrial"
"BKA90DRAFT_85651","KAE8171309.1","Serine/threonine-protein kinase TEL1"
"BKA90DRAFT_153631","KAE8171310.1","Borealin N terminal-domain-containing protein"
"BKA90DRAFT_29453","KAE8171311.1","hypothetical protein"
"BKA90DRAFT_163355","KAE8171312.1","hypothetical protein"
"BKA90DRAFT_139350","KAE8171313.1","hypothetical protein"
"BKA90DRAFT_169393","KAE8171314.1","hypothetical protein"
"BKA90DRAFT_139354","KAE8171315.1","hypothetical protein"
"BKA90DRAFT_139355","KAE8171316.1","hypothetical protein"
"BKA90DRAFT_139357","KAE8171317.1","tRNA synthetases class I (M)-domain-containing protein"
"BKA90DRAFT_139358","KAE8171318.1","HotDog domain-containing protein"
"BKA90DRAFT_29481","KAE8171319.1","Golgi phospho protein 3-domain-containing protein"
"BKA90DRAFT_139360","KAE8171320.1","hypothetical protein"
"BKA90DRAFT_139361","KAE8171321.1","BCS1 N terminal-domain-containing protein"
"BKA90DRAFT_147705","KAE8171322.1","hypothetical protein"
"BKA90DRAFT_139364","KAE8171323.1","phosphatidylserine decarboxylase-domain-containing protein"
"BKA90DRAFT_139367","KAE8171324.1","acid phosphatase"
"BKA90DRAFT_129831","KAE8171212.1","hypothetical protein"
"BKA90DRAFT_158029","KAE8171213.1","hypothetical protein"
"BKA90DRAFT_139369","KAE8171214.1","actin-like protein ARP6"
"BKA90DRAFT_139372","KAE8171215.1","VTC domain-containing protein"
"BKA90DRAFT_139375","KAE8171216.1","hypothetical protein"
"BKA90DRAFT_139376","KAE8171217.1","eukaryotic phosphomannomutase"
"BKA90DRAFT_139377","KAE8171218.1","60S ribosomal protein L10"
"BKA90DRAFT_139378","KAE8171219.1","thioredoxin-like protein"
"BKA90DRAFT_85705","KAE8171220.1","hypothetical protein"
"BKA90DRAFT_147717","KAE8171221.1","hypothetical protein"
"BKA90DRAFT_139381","KAE8171222.1","hypothetical protein"
"BKA90DRAFT_139383","KAE8171223.1","oxidoreductase"
"BKA90DRAFT_139384","KAE8171224.1","hypothetical protein"
"BKA90DRAFT_175140","KAE8171225.1","nuclear fusion protein KAR5"
"BKA90DRAFT_139387","KAE8171226.1","glycoside hydrolase"
"BKA90DRAFT_139388","KAE8171227.1","40S ribosomal protein S4"
"BKA90DRAFT_139392","KAE8171228.1","leucine carboxyl methyltransferase 1"
"BKA90DRAFT_139393","KAE8171229.1","S-adenosyl-L-methionine-dependent methyltransferase"
"BKA90DRAFT_139394","KAE8171230.1","S-adenosyl-L-methionine-dependent methyltransferase"
